n, comparisons_quick, compartisons_merge, time_quick, time_merge
1000000, 37155904, 18673922, 144000.000000, 255000.000000
1000000, 35238215, 18674175, 142000.000000, 254000.000000
1000000, 35380397, 18673991, 140000.000000, 253000.000000
1000000, 35719954, 18672180, 140000.000000, 253000.000000
1000000, 35539551, 18674453, 143000.000000, 254000.000000
1000000, 34404881, 18674240, 140000.000000, 254000.000000
1000000, 34777742, 18674375, 142000.000000, 253000.000000
1000000, 36580935, 18674986, 141000.000000, 253000.000000
1000000, 34560915, 18673007, 141000.000000, 255000.000000
1000000, 34845508, 18674339, 140000.000000, 256000.000000
1000000, 34259592, 18674744, 141000.000000, 254000.000000
1000000, 34213309, 18674661, 142000.000000, 254000.000000
1000000, 34332800, 18675529, 142000.000000, 254000.000000
1000000, 35558835, 18673836, 141000.000000, 254000.000000
1000000, 34693322, 18675150, 141000.000000, 253000.000000
1000000, 35170436, 18674749, 142000.000000, 254000.000000
1000000, 34867058, 18673819, 141000.000000, 255000.000000
1000000, 35954490, 18674273, 141000.000000, 253000.000000
1000000, 35137386, 18674999, 142000.000000, 253000.000000
1000000, 35528998, 18674977, 142000.000000, 255000.000000
1000000, 34625105, 18674219, 144000.000000, 253000.000000
1000000, 34793311, 18673469, 143000.000000, 254000.000000
1000000, 36231854, 18674087, 144000.000000, 255000.000000
1000000, 34790651, 18674592, 142000.000000, 254000.000000
1000000, 36464504, 18673722, 142000.000000, 254000.000000
1000000, 34483877, 18673734, 140000.000000, 254000.000000
1000000, 34486216, 18674194, 142000.000000, 255000.000000
1000000, 35887040, 18674272, 142000.000000, 255000.000000
1000000, 35764482, 18673885, 142000.000000, 253000.000000
1000000, 34226688, 18673220, 141000.000000, 254000.000000
1000000, 34496452, 18673614, 142000.000000, 255000.000000
1000000, 34950121, 18674323, 143000.000000, 253000.000000
1000000, 34769998, 18674283, 142000.000000, 254000.000000
1000000, 34233380, 18673859, 140000.000000, 255000.000000
1000000, 34532632, 18673582, 141000.000000, 254000.000000
1000000, 34374059, 18674397, 140000.000000, 254000.000000
1000000, 35330059, 18674726, 141000.000000, 257000.000000
1000000, 34765351, 18674235, 141000.000000, 254000.000000
1000000, 35755363, 18674339, 141000.000000, 254000.000000
